school,major,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
02SES,Human Development & Psychological Services,33,37,31,22,28,22,25,37,26,34,31
02SES,Learning & Organizational Change,41,23,24,10,16,21,31,47,35,41,35
02SES,Secondary Teaching,10,17,12,8,5,7,6,12,7,11,6
02SES,Social Policy,41,24,35,29,40,28,36,51,31,52,51
03JOU,Journalism,147,164,160,162,168,184,155,153,163,154,168
04CAS,African American Studies,4,7,2,9,10,10,10,6,6,5,6
04CAS,African Studies,,,,,,,,2,4,3,4
04CAS,American Studies,13,14,10,12,12,11,8,12,9,15,8
04CAS,Anthropology,26,21,17,30,30,19,33,29,27,31,36
04CAS,Art History,13,10,22,27,18,19,18,18,25,20,20
04CAS,Art Theory and Practice,12,15,16,14,21,18,18,11,7,6,11
04CAS,Asian & Middle East Languages & Civilizations,6,3,8,11,4,9,18,18,12,13,6
04CAS,Asian & Middle East Studies,1,4,6,1,1,5,1,1,2,,1
04CAS,Biological Sciences,112,93,119,113,117,109,91,109,139,125,140
04CAS,CAS Ad Hoc,3,3,1,1,5,5,7,5,2,4,2
04CAS,Chemistry,24,39,26,29,28,38,32,18,22,25,32
04CAS,Classics,7,3,6,4,3,9,6,11,10,7,6
04CAS,Cognitive Science,14,14,15,5,5,8,7,11,19,14,14
04CAS,Comparative Literary Studies,11,5,8,7,4,2,8,10,7,5,9
04CAS,Computing and Information Systems,16,12,5,4,7,8,6,7,8,7,15
04CAS,Drama,3,1,5,4,,1,1,2,1,2,
04CAS,Earth & Planetary Sciences,1,1,4,2,1,3,8,6,3,7,10
04CAS,Economics,299,276,285,312,305,271,323,368,337,355,324
04CAS,English,97,81,77,91,87,96,100,85,91,88,88
04CAS,Environmental Sciences,15,11,5,16,14,5,12,14,11,22,24
04CAS,European Studies,,,,2,7,1,1,1,2,1,1
04CAS,French,5,8,6,11,9,11,7,14,12,10,11
04CAS,Gender and Sexuality Studies,,,,,,,,,,,1
04CAS,Gender Studies,11,9,12,13,10,10,9,11,10,7,8
04CAS,Geography,2,3,5,2,1,1,2,4,4,2,4
04CAS,German,4,6,16,12,9,13,9,9,9,4,5
04CAS,History,104,113,149,161,124,127,96,104,94,81,96
04CAS,Integrated Science Program,22,6,11,11,17,24,18,17,18,23,13
04CAS,International Studies,70,83,92,93,109,76,136,118,95,105,92
04CAS,Italian,2,3,4,3,1,2,3,1,1,1,3
04CAS,Jewish Studies,,,,,,,,1,1,3,
04CAS,Latina & Latino Studies,,,,,,,,1,1,1,3
04CAS,Legal Studies,3,15,24,31,25,21,16,34,30,25,21
04CAS,Linguistics,3,3,3,7,7,6,10,15,7,11,8
04CAS,Materials Science,,,,,1,,,2,,1,4
04CAS,Mathematical Methods in the Social Sciences,30,33,25,43,23,37,43,43,40,39,40
04CAS,Mathematics,43,33,45,51,54,74,47,81,81,73,78
04CAS,Middle East Languages & Civilizations,,,,,,,,,,1,4
04CAS,Middle East Studies,,,,,,,,,,,5
04CAS,Philosophy,30,40,43,20,24,27,24,30,27,26,28
